,Id,protoform,DoT,DoS,DoF,class
0,0.0,"Among records that contribute against predicting 0 class, most of them have pcm_LOGenergy_sma-related features at low level.",0.0,0.0,0.26568668499202597,0
1,1.0,"Among records that contribute against predicting 0 class, most of them have pcm_LOGenergy_sma-related features at medium level.",0.0,0.1,0.26568668499202597,0
2,2.0,"Among records that contribute against predicting 0 class, most of them have pcm_LOGenergy_sma-related features at high level.",1.0,0.30666666666666664,0.26568668499202597,0
3,3.0,"Among records that contribute around zero to predicting 0 class, most of them have pcm_LOGenergy_sma-related features at low level.",0.0,0.0033333333333333335,0.10027207942589987,0
4,4.0,"Among records that contribute around zero to predicting 0 class, most of them have pcm_LOGenergy_sma-related features at medium level.",0.0,0.13666666666666666,0.10027207942589987,0
5,5.0,"Among records that contribute around zero to predicting 0 class, most of them have pcm_LOGenergy_sma-related features at high level.",1.0,0.19,0.10027207942589987,0
6,6.0,"Among records that contribute positively to predicting 0 class, most of them have pcm_LOGenergy_sma-related features at low level.",0.8505692569411052,0.49666666666666665,0.6307079022487407,0
7,7.0,"Among records that contribute positively to predicting 0 class, most of them have pcm_LOGenergy_sma-related features at medium level.",0.0,0.4066666666666667,0.6307079022487407,0
8,8.0,"Among records that contribute positively to predicting 0 class, most of them have pcm_LOGenergy_sma-related features at high level.",0.0,0.19,0.6307079022487407,0
0,0.0,"Among records that contribute against predicting 0 class, most of them have pcm_zcr_sma-related features at low level.",0.0,0.29333333333333333,0.6228876231619975,0
1,1.0,"Among records that contribute against predicting 0 class, most of them have pcm_zcr_sma-related features at medium level.",0.0,0.41,0.6228876231619975,0
2,2.0,"Among records that contribute against predicting 0 class, most of them have pcm_zcr_sma-related features at high level.",0.0,0.5033333333333333,0.6228876231619975,0
3,3.0,"Among records that contribute around zero to predicting 0 class, most of them have pcm_zcr_sma-related features at low level.",1.0,0.11,0.046984702512683614,0
4,4.0,"Among records that contribute around zero to predicting 0 class, most of them have pcm_zcr_sma-related features at medium level.",0.0,0.056666666666666664,0.046984702512683614,0
5,5.0,"Among records that contribute around zero to predicting 0 class, most of them have pcm_zcr_sma-related features at high level.",0.0,0.02,0.046984702512683614,0
6,6.0,"Among records that contribute positively to predicting 0 class, most of them have pcm_zcr_sma-related features at low level.",1.0,0.2966666666666667,0.32679434099198545,0
7,7.0,"Among records that contribute positively to predicting 0 class, most of them have pcm_zcr_sma-related features at medium level.",0.0,0.1,0.32679434099198545,0
8,8.0,"Among records that contribute positively to predicting 0 class, most of them have pcm_zcr_sma-related features at high level.",0.0,0.08,0.32679434099198545,0
0,0.0,"Among records that contribute against predicting 0 class, most of them have voiceprob_sma-related features at low level.",1.0,0.5133333333333333,0.5184185501592421,0
1,1.0,"Among records that contribute against predicting 0 class, most of them have voiceprob_sma-related features at medium level.",0.0,0.30666666666666664,0.5184185501592421,0
2,2.0,"Among records that contribute against predicting 0 class, most of them have voiceprob_sma-related features at high level.",0.0,0.17666666666666667,0.5184185501592421,0
3,3.0,"Among records that contribute around zero to predicting 0 class, most of them have voiceprob_sma-related features at low level.",0.0,0.07666666666666666,0.04696111143030433,0
4,4.0,"Among records that contribute around zero to predicting 0 class, most of them have voiceprob_sma-related features at medium level.",1.0,0.08666666666666667,0.04696111143030433,0
5,5.0,"Among records that contribute around zero to predicting 0 class, most of them have voiceprob_sma-related features at high level.",0.0,0.07333333333333333,0.04696111143030433,0
6,6.0,"Among records that contribute positively to predicting 0 class, most of them have voiceprob_sma-related features at low level.",0.0,0.10333333333333333,0.4312870050771202,0
7,7.0,"Among records that contribute positively to predicting 0 class, most of them have voiceprob_sma-related features at medium level.",0.0,0.20666666666666667,0.4312870050771202,0
8,8.0,"Among records that contribute positively to predicting 0 class, most of them have voiceprob_sma-related features at high level.",1.0,0.43,0.4312870050771202,0
0,0.0,"Among records that contribute against predicting 0 class, most of them have f0_sma-related features at low level.",0.0,0.66,0.7633886884527147,0
1,1.0,"Among records that contribute against predicting 0 class, most of them have f0_sma-related features at medium level.",0.0,0.4533333333333333,0.7633886884527147,0
2,2.0,"Among records that contribute against predicting 0 class, most of them have f0_sma-related features at high level.",0.0,0.48333333333333334,0.7633886884527147,0
