,Id,protoform,DoT,DoS,DoF,class
0,0.0,"Among records that contribute against predicting 0 class, most of them have pcm_LOGenergy_sma-related features at low level.",0.0,0.01,0.26568668499202597,0
1,1.0,"Among records that contribute against predicting 0 class, most of them have pcm_LOGenergy_sma-related features at medium level.",0.0,0.2966666666666667,0.26568668499202597,0
2,2.0,"Among records that contribute against predicting 0 class, most of them have pcm_LOGenergy_sma-related features at high level.",1.0,0.2966666666666667,0.26568668499202597,0
3,3.0,"Among records that contribute around zero to predicting 0 class, most of them have pcm_LOGenergy_sma-related features at low level.",0.0,0.02,0.10027207942589987,0
4,4.0,"Among records that contribute around zero to predicting 0 class, most of them have pcm_LOGenergy_sma-related features at medium level.",0.45900042844679645,0.19,0.10027207942589987,0
5,5.0,"Among records that contribute around zero to predicting 0 class, most of them have pcm_LOGenergy_sma-related features at high level.",1.0,0.17666666666666667,0.10027207942589987,0
6,6.0,"Among records that contribute positively to predicting 0 class, most of them have pcm_LOGenergy_sma-related features at low level.",0.5319461061122578,0.4866666666666667,0.6307079022487407,0
7,7.0,"Among records that contribute positively to predicting 0 class, most of them have pcm_LOGenergy_sma-related features at medium level.",0.0,0.44666666666666666,0.6307079022487407,0
8,8.0,"Among records that contribute positively to predicting 0 class, most of them have pcm_LOGenergy_sma-related features at high level.",0.0,0.21333333333333335,0.6307079022487407,0
0,0.0,"Among records that contribute against predicting 0 class, most of them have pcm_zcr_sma-related features at low level.",1.0,0.5066666666666667,0.6228876231619975,0
1,1.0,"Among records that contribute against predicting 0 class, most of them have pcm_zcr_sma-related features at medium level.",0.0,0.4,0.6228876231619975,0
2,2.0,"Among records that contribute against predicting 0 class, most of them have pcm_zcr_sma-related features at high level.",0.0,0.15666666666666668,0.6228876231619975,0
3,3.0,"Among records that contribute around zero to predicting 0 class, most of them have pcm_zcr_sma-related features at low level.",0.0,0.0,0.046984702512683614,0
4,4.0,"Among records that contribute around zero to predicting 0 class, most of them have pcm_zcr_sma-related features at medium level.",1.0,0.11,0.046984702512683614,0
5,5.0,"Among records that contribute around zero to predicting 0 class, most of them have pcm_zcr_sma-related features at high level.",1.0,0.11333333333333333,0.046984702512683614,0
6,6.0,"Among records that contribute positively to predicting 0 class, most of them have pcm_zcr_sma-related features at low level.",0.0,0.0,0.32679434099198545,0
7,7.0,"Among records that contribute positively to predicting 0 class, most of them have pcm_zcr_sma-related features at medium level.",0.0,0.10666666666666667,0.32679434099198545,0
8,8.0,"Among records that contribute positively to predicting 0 class, most of them have pcm_zcr_sma-related features at high level.",1.0,0.35333333333333333,0.32679434099198545,0
0,0.0,"Among records that contribute against predicting 0 class, most of them have voiceprob_sma-related features at low level.",0.0,0.41333333333333333,0.5184185501592421,0
1,1.0,"Among records that contribute against predicting 0 class, most of them have voiceprob_sma-related features at medium level.",0.0,0.37333333333333335,0.5184185501592421,0
2,2.0,"Among records that contribute against predicting 0 class, most of them have voiceprob_sma-related features at high level.",0.4376801231561013,0.39666666666666667,0.5184185501592421,0
3,3.0,"Among records that contribute around zero to predicting 0 class, most of them have voiceprob_sma-related features at low level.",0.6545393073006734,0.08666666666666667,0.04696111143030433,0
4,4.0,"Among records that contribute around zero to predicting 0 class, most of them have voiceprob_sma-related features at medium level.",0.12634711628460973,0.08,0.04696111143030433,0
5,5.0,"Among records that contribute around zero to predicting 0 class, most of them have voiceprob_sma-related features at high level.",0.0,0.02,0.04696111143030433,0
6,6.0,"Among records that contribute positively to predicting 0 class, most of them have voiceprob_sma-related features at low level.",1.0,0.43666666666666665,0.4312870050771202,0
7,7.0,"Among records that contribute positively to predicting 0 class, most of them have voiceprob_sma-related features at medium level.",0.0,0.24333333333333335,0.4312870050771202,0
8,8.0,"Among records that contribute positively to predicting 0 class, most of them have voiceprob_sma-related features at high level.",0.0,0.12,0.4312870050771202,0
0,0.0,"Among records that contribute against predicting 0 class, most of them have f0_sma-related features at low level.",0.0,0.7333333333333333,0.7633886884527147,0
1,1.0,"Among records that contribute against predicting 0 class, most of them have f0_sma-related features at medium level.",1.0,0.53,0.7633886884527147,0
2,2.0,"Among records that contribute against predicting 0 class, most of them have f0_sma-related features at high level.",0.0,0.55,0.7633886884527147,0
3,3.0,"Among records that contribute around zero to predicting 0 class, most of them have f0_sma-related features at low level.",0.0,0.03333333333333333,0.015799599068458858,0
4,4.0,"Among records that contribute around zero to predicting 0 class, most of them have f0_sma-related features at medium level.",1.0,0.023333333333333334,0.015799599068458858,0
5,5.0,"Among records that contribute around zero to predicting 0 class, most of them have f0_sma-related features at high level.",0.0,0.023333333333333334,0.015799599068458858,0
6,6.0,"Among records that contribute positively to predicting 0 class, most of them have f0_sma-related features at low level.",0.0,0.14666666666666667,0.21747837914549317,0
7,7.0,"Among records that contribute positively to predicting 0 class, most of them have f0_sma-related features at medium level.",0.0,0.11333333333333333,0.21747837914549317,0
8,8.0,"Among records that contribute positively to predicting 0 class, most of them have f0_sma-related features at high level.",0.0,0.19,0.21747837914549317,0
0,0.0,"Among records that contribute against predicting 0 class, most of them have f0env_sma-related features at low level.",0.9354423315115792,0.4766666666666667,0.5789745287964558,0
1,1.0,"Among records that contribute against predicting 0 class, most of them have f0env_sma-related features at medium level.",0.0,0.4,0.5789745287964558,0
2,2.0,"Among records that contribute against predicting 0 class, most of them have f0env_sma-related features at high level.",0.0,0.17,0.5789745287964558,0
